Schengen State,Country where consulate is located,Consulate,Airport transit visas (ATVs) applied for, ATVs issued (including multiple),Multiple ATVs issued,ATVs not issued ,Not issued rate for ATVs,Uniform visas applied for,Total  uniform visas issued (including MEV),Multiple entry uniform visas (MEVs) issued,Share of MEVs on total number of uniform visas issued,Total LTVs issued,Uniform visas not issued,Not issued rate for uniform visas,Total ATVs and uniform visas applied for,"Total ATVs and uniform visas issued  (including multiple ATVs, MEVs and LTVs)",Total ATVs and uniform visas not issued,Not issued rate for ATVs and uniform visas,Year
Austria,ALBANIA,TIRANA,0.0,0.0,0.0,0.0,,73.0,64.0,57.0,0.890625,2.0,7.0,0.0958904109589041,73.0,66.0,7.0,0.0958904109589041,2023
Austria,ALGERIA,ALGIERS,0.0,0.0,0.0,0.0,,1953.0,1009.0,684.0,0.6778989098116948,7.0,937.0,0.4797747055811572,1953.0,1016.0,937.0,0.4797747055811572,2023
Austria,ARGENTINA,BUENOS AIRES,0.0,0.0,0.0,0.0,,13.0,13.0,12.0,0.9230769230769231,0.0,0.0,0.0,13.0,13.0,,,2023
Austria,AUSTRALIA,CANBERRA,2.0,2.0,2.0,0.0,0.0,3638.0,3583.0,3579.0,0.9988836170806586,0.0,55.0,0.015118196811434854,3640.0,3585.0,55.0,0.01510989010989011,2023
Austria,AZERBAIJAN,BAKU,0.0,0.0,0.0,0.0,,2676.0,2610.0,2467.0,0.9452107279693487,4.0,62.0,0.023168908819133034,2676.0,2614.0,62.0,0.023168908819133034,2023
Austria,BOSNIA AND HERZEGOVINA,SARAJEVO,0.0,0.0,0.0,0.0,,1735.0,1368.0,1357.0,0.9919590643274854,345.0,22.0,0.012680115273775217,1735.0,1713.0,22.0,0.012680115273775217,2023
Austria,BRAZIL,BRASILIA,,,,,,36.0,13.0,7.0,0.5384615384615384,23.0,0.0,0.0,36.0,36.0,,,2023
Austria,BULGARIA,SOFIA,,,,,,533.0,509.0,495.0,0.9724950884086444,10.0,14.0,0.02626641651031895,533.0,519.0,14.0,0.02626641651031895,2023
Austria,CANADA,OTTAWA,,,,,,1018.0,989.0,106.0,0.10717896865520728,10.0,19.0,0.018664047151277015,1018.0,999.0,19.0,0.018664047151277015,2023
Austria,CHILE,SANTIAGO DE CHILE,,,,,,23.0,21.0,15.0,0.7142857142857143,1.0,1.0,0.043478260869565216,23.0,22.0,1.0,0.043478260869565216,2023
Austria,CHINA,BEIJING,,,,,,16253.0,14609.0,9469.0,0.6481620918611815,2.0,1642.0,0.10102750261490187,16253.0,14611.0,1642.0,0.10102750261490187,2023
Austria,CHINA,SHANGHAI,,,,,,11040.0,10418.0,871.0,0.08360529852178922,5.0,617.0,0.05588768115942029,11040.0,10423.0,617.0,0.05588768115942029,2023
Austria,COLOMBIA,BOGOTA,,,,,,38.0,35.0,32.0,0.9142857142857143,0.0,3.0,0.07894736842105263,38.0,35.0,3.0,0.07894736842105263,2023
Austria,CROATIA,ZAGREB,,,,,,3.0,2.0,1.0,0.5,0.0,1.0,0.3333333333333333,3.0,2.0,1.0,0.3333333333333333,2023
Austria,CUBA,HAVANA,,,,,,511.0,402.0,101.0,0.2512437810945274,0.0,109.0,0.21330724070450097,511.0,402.0,109.0,0.21330724070450097,2023
Austria,CYPRUS,NICOSIA,,,,,,2172.0,2019.0,511.0,0.2530955918771669,8.0,145.0,0.06675874769797421,2172.0,2027.0,145.0,0.06675874769797421,2023
Austria,EGYPT,CAIRO,,,,,,4096.0,2948.0,2277.0,0.7723880597014925,11.0,1137.0,0.277587890625,4096.0,2959.0,1137.0,0.277587890625,2023
Austria,ETHIOPIA,ADDIS ABEBA,,,,,,1719.0,1084.0,267.0,0.246309963099631,20.0,615.0,0.35776614310645727,1719.0,1104.0,615.0,0.35776614310645727,2023
Austria,GEORGIA,TBILISSI,,,,,,2246.0,1866.0,340.0,0.18220793140407288,2.0,378.0,0.1682991985752449,2246.0,1868.0,378.0,0.1682991985752449,2023
Austria,GERMANY,MUNICH,,,,,,128.0,122.0,121.0,0.9918032786885246,3.0,3.0,0.0234375,128.0,125.0,3.0,0.0234375,2023
Austria,HONG KONG S.A.R.,HONG KONG,,,,,,366.0,363.0,29.0,0.07988980716253444,0.0,3.0,0.00819672131147541,366.0,363.0,3.0,0.00819672131147541,2023
Austria,INDIA,NEW DELHI,,,,,,39558.0,31926.0,26088.0,0.8171396354068784,29.0,7603.0,0.1921987967035745,39558.0,31955.0,7603.0,0.1921987967035745,2023
Austria,INDONESIA,JAKARTA,,,,,,5928.0,5895.0,5893.0,0.9996607294317218,0.0,33.0,0.005566801619433198,5928.0,5895.0,33.0,0.005566801619433198,2023
Austria,IRAN,TEHERAN,,,,,,3713.0,2133.0,1527.0,0.7158931082981715,22.0,1558.0,0.41960678696471854,3713.0,2155.0,1558.0,0.41960678696471854,2023
Austria,IRELAND,DUBLIN,,,,,,1215.0,1186.0,519.0,0.4376053962900506,2.0,27.0,0.022222222222222223,1215.0,1188.0,27.0,0.022222222222222223,2023
Austria,ISRAEL,TEL AVIV,,,,,,789.0,728.0,414.0,0.5686813186813187,5.0,56.0,0.07097591888466413,789.0,733.0,56.0,0.07097591888466413,2023
